date,proofread_concepts,proofread_terms,total_concepts,total_terms,categorized,wikidata_mappings
2017-03-01,199,271,268,378,,
2017-03-02,226,301,340,465,,
2017-03-08,368,471,386,514,,
2017-03-13,368,471,396,526,,
2017-03-14,369,474,400,532,,
2017-03-15,369,474,404,538,,
2017-03-16,369,473,484,644,,
2017-03-18,369,473,586,770,,
2017-03-21,372,477,588,773,,
2017-03-23,492,625,588,770,,
2017-03-31,492,625,607,789,,
2017-04-07,511,648,606,787,,
2017-04-12,511,648,606,787,,
2017-05-01,553,704,603,783,,
2017-05-09,553,704,617,798,,
2017-05-23,553,704,652,837,,
2017-05-30,553,704,940,1156,,
2017-05-31,553,704,953,1177,,
2017-06-07,554,705,953,1177,,
2017-06-09,554,705,989,1213,,
2017-06-14,554,705,1001,1225,,
2017-06-23,554,705,1001,1225,,
2017-06-30,554,705,1008,1232,,
2017-07-04,807,983,1015,1252,,
2017-07-05,807,983,1102,1357,,
2017-07-11,807,983,1132,1394,,
2017-07-12,807,983,1178,1447,1161.0,960.0
2017-07-13,807,983,1341,1622,1326.0,1099.0
2017-07-14,807,983,1639,1986,1622.0,1384.0
2017-07-15,807,983,1824,2346,1807.0,1565.0
2017-07-16,939,1134,1824,2346,1808.0,1570.0
2017-07-18,939,1134,2019,2662,1997.0,1737.0
2017-07-19,939,1134,2154,2880,2132.0,1846.0
2017-07-20,962,1163,2247,2997,2210.0,1913.0
2017-07-21,962,1163,2412,3212,2369.0,2041.0
2017-07-22,963,1165,2453,3264,2410.0,2078.0
2017-07-24,1030,1262,2453,3269,2410.0,2080.0
2017-07-25,1584,2003,2812,3812,2774.0,2431.0
2017-07-26,1947,2473,2986,4006,2953.0,2593.0
2017-07-27,1997,2538,3096,4171,3062.0,2670.0
2017-07-28,2052,2619,3136,4239,3115.0,2713.0
2017-07-29,2052,2619,3160,4269,3139.0,2735.0
2017-08-01,2219,2853,3162,4291,3156.0,2754.0
2017-08-03,2219,2853,3189,4329,3182.0,2780.0
2017-08-04,2247,2891,3206,4352,3214.0,2798.0
2017-08-05,2249,2893,3240,4389,3242.0,2829.0
2017-08-08,2263,2908,3240,4390,3242.0,2830.0
2017-08-09,2295,2947,3239,4388,3247.0,2832.0
2017-08-10,2313,2968,3239,4386,3258.0,2832.0
2017-08-12,2314,2969,3239,4386,3259.0,2832.0
2017-08-15,2350,3010,3239,4385,3272.0,2838.0
2017-08-16,2368,3036,3297,4467,3329.0,2875.0
2017-08-17,2368,3036,3308,4482,3342.0,2888.0
2017-08-18,2370,3038,3309,4483,3384.0,2926.0
2017-08-19,2370,3038,3309,4483,3384.0,2926.0
2017-08-20,2370,3038,3309,4483,3384.0,2926.0
2017-08-21,2380,3052,3310,4485,3394.0,2936.0
2017-08-22,2390,3063,3310,4485,3394.0,2936.0
2017-08-23,2402,3082,3310,4489,3394.0,2936.0
2017-08-24,2421,3103,3310,4484,3402.0,2937.0
2017-08-25,2435,3132,3308,4494,3403.0,2938.0
2017-08-26,2435,3132,3308,4494,3403.0,2938.0
2017-08-28,2446,3153,3363,4565,3452.0,2976.0
2017-08-29,2460,3171,3363,4564,3452.0,2976.0
2017-08-30,2505,3227,3362,4569,3451.0,2973.0
2017-08-31,2541,3278,3362,4572,3451.0,2973.0
2017-09-01,2543,3281,3362,4572,3451.0,2973.0
2017-09-02,2545,3284,3362,4573,3452.0,2972.0
2017-09-03,2545,3284,3362,4573,3452.0,2972.0
2017-09-04,2545,3284,3477,4708,3565.0,3056.0
2017-09-05,2615,3379,3764,5066,3852.0,3286.0
2017-09-06,2628,3401,3789,5094,3873.0,3303.0
2017-09-07,2629,3402,3855,5182,3936.0,3355.0
2017-09-08,2641,3417,3855,5182,3936.0,3355.0
2017-09-09,2662,3444,3855,5182,3936.0,3356.0
2017-09-10,2662,3444,3868,5197,3949.0,3369.0
2017-09-12,2663,3446,3869,5198,3950.0,3369.0
2017-09-13,2663,3446,3885,5218,3963.0,3371.0
2017-09-14,2663,3446,3885,5218,3963.0,3371.0
2017-09-16,2663,3446,3895,5228,3971.0,3378.0
2017-09-18,2725,3537,4134,5551,4205.0,3572.0
2017-09-19,2725,3537,4134,5551,4205.0,3572.0
2017-09-20,2940,3806,4133,5553,4205.0,3573.0
2017-09-21,2944,3812,4146,5569,4212.0,3582.0
2017-09-22,2944,3812,4294,5769,4360.0,3708.0
2017-09-23,2991,3871,4294,5769,4360.0,3711.0
2017-10-01,3032,3927,4475,6031,4537.0,3865.0
2017-10-02,3068,3970,4747,6455,4799.0,4084.0
2017-10-04,3068,3970,4910,6696,4959.0,4238.0
2017-10-05,3068,3970,4977,6794,5026.0,4298.0
2017-10-06,3081,3985,5191,7058,5240.0,4503.0
2017-10-07,3629,4667,5197,7067,5394.0,4666.0
2017-10-08,3843,4930,5197,7076,5510.0,4758.0
2017-10-09,3852,4941,5203,7084,5521.0,4763.0
2017-10-10,3852,4941,5203,7084,5522.0,4763.0
2017-10-11,3852,4941,5214,7095,5533.0,4770.0
2017-10-12,3858,4952,5251,7154,5570.0,4787.0
2017-10-13,3858,4952,5260,7165,5577.0,4789.0
2017-10-14,3858,4952,5272,7182,5588.0,4797.0
2017-10-17,3868,4964,5271,7181,5589.0,4796.0
2017-10-18,3880,4983,5274,7184,5593.0,4798.0
2017-10-19,3880,4983,5301,7220,5619.0,4811.0
2017-10-22,3880,4983,5306,7228,5624.0,4814.0
2017-10-23,3881,4984,5309,7232,5627.0,4816.0
2017-10-24,3881,4984,5309,7232,5627.0,4816.0
2017-10-25,3911,5018,5438,7376,5748.0,4923.0
2017-10-26,3911,5018,5438,7376,5748.0,4923.0
2017-10-27,3988,5104,5445,7386,5753.0,4932.0
2017-10-28,4095,5256,5510,7499,5830.0,4986.0
2017-10-29,4096,5257,5510,7499,5830.0,4986.0
2017-10-30,4096,5257,5541,7550,5858.0,5000.0
2017-10-31,4268,5521,5539,7554,5874.0,5006.0
2017-11-01,4268,5521,5539,7554,5874.0,5006.0
2017-11-02,4273,5529,5548,7569,5882.0,5015.0
2017-11-03,4273,5529,5548,7569,5882.0,5015.0
2017-11-05,4273,5529,5553,7576,5887.0,5017.0
2017-11-07,4275,5531,5553,7575,5887.0,5017.0
2017-11-08,4275,5532,5554,7576,5888.0,5018.0
2017-11-09,4275,5532,5554,7576,5888.0,5018.0
2017-11-10,4283,5540,5573,7596,5907.0,5027.0
2017-11-11,4283,5540,5573,7596,5907.0,5027.0
2017-11-12,4283,5540,5596,7621,5930.0,5034.0
2017-11-13,4304,5584,5596,7622,5930.0,5036.0
2017-11-14,4304,5584,5596,7622,5930.0,5036.0
2017-11-15,4304,5584,5602,7628,5936.0,5041.0
2017-11-16,4311,5591,5624,7661,5958.0,5058.0
2017-11-17,4333,5628,5624,7670,5958.0,5058.0
2017-11-18,4333,5628,5624,7670,5958.0,5058.0
2017-11-19,4333,5628,5642,7692,5974.0,5071.0
2017-11-22,4333,5628,5660,7716,5988.0,5087.0
2017-11-24,4336,5634,5661,7717,5989.0,5088.0
2017-11-25,4336,5634,5661,7717,5989.0,5088.0
2017-11-27,4361,5665,5658,7713,5989.0,5087.0
2017-11-28,4361,5665,5658,7713,5989.0,5087.0
2017-11-29,4361,5665,5664,7719,5995.0,5090.0
2017-11-30,4361,5665,5664,7719,5995.0,5090.0
2017-12-01,4361,5665,5664,7719,5995.0,5090.0
2017-12-03,4361,5665,5665,7720,5996.0,5091.0
2017-12-07,4361,5665,5669,7724,6000.0,5095.0
2017-12-08,4361,5665,5674,7729,6005.0,5099.0
2017-12-09,4361,5665,5676,7732,6007.0,5101.0
2017-12-10,4361,5665,5676,7732,6007.0,5101.0
2017-12-13,4361,5665,5681,7737,6012.0,5105.0
2017-12-14,4361,5665,5688,7748,6019.0,5109.0
2017-12-15,4369,5678,5726,7805,6061.0,5139.0
2017-12-16,4369,5678,5726,7805,6061.0,5139.0
2017-12-18,4371,5680,5728,7807,6062.0,5140.0
2017-12-19,4371,5680,5728,7807,6062.0,5140.0
2017-12-20,4372,5681,5729,7808,6063.0,5140.0
2017-12-21,4372,5681,5729,7808,6063.0,5140.0
2017-12-22,4372,5681,5733,7812,6067.0,5143.0
2018-01-02,4372,5681,5733,7812,6068.0,5148.0
2018-01-03,4372,5681,5783,7876,6115.0,5178.0
2018-01-04,4372,5681,5800,7899,6126.0,5183.0
2018-01-05,4372,5681,5804,7904,6130.0,5183.0
2018-01-06,4372,5681,5812,7913,6137.0,5188.0
2018-01-10,4372,5681,5818,7919,6143.0,5191.0
2018-01-11,4376,5687,5873,7979,6190.0,5225.0
2018-01-12,4407,5720,5873,7979,6195.0,5230.0
2018-01-13,4407,5720,5874,7980,6196.0,5230.0
2018-01-14,4409,5722,5879,7985,6202.0,5234.0
2018-01-15,4409,5722,5899,8008,6222.0,5249.0
2018-01-17,4414,5728,5959,8078,6283.0,5274.0
2018-01-18,4440,5761,5968,8094,6290.0,5283.0
2018-01-19,4440,5761,5973,8100,6294.0,5283.0
2018-01-20,4445,5766,5988,8119,6459.0,5451.0
2018-01-21,4471,5793,6085,8224,6683.0,5647.0
2018-01-22,4474,5798,6087,8227,6685.0,5650.0
2018-01-23,4477,5801,6087,8230,6685.0,5649.0
2018-01-24,4478,5802,6098,8242,6727.0,5689.0
2018-01-25,4478,5802,6103,8247,6731.0,5692.0
2018-01-27,4478,5802,6106,8250,6893.0,5859.0
2018-01-29,4478,5802,6119,8264,6906.0,5867.0
2018-01-30,4478,5802,6119,8264,6906.0,5867.0
2018-01-31,4478,5802,6139,8286,6926.0,5880.0
2018-02-01,4478,5802,6160,8307,6947.0,5896.0
2018-02-02,4478,5802,6180,8328,6967.0,5908.0
2018-02-03,4482,5809,6186,8338,7006.0,5948.0
2018-02-04,4482,5809,6239,8397,7058.0,5974.0
2018-02-07,4482,5809,6258,8417,7077.0,5990.0
2018-02-08,4482,5809,6275,8442,7093.0,6001.0
2018-02-11,4482,5809,6276,8443,7094.0,6002.0
2018-02-12,4516,5854,6338,8521,7158.0,6048.0
2018-02-13,4577,5928,6426,8633,7251.0,6096.0
2018-02-14,4603,5962,6578,8819,7404.0,6195.0
2018-02-15,4626,5989,6605,8851,7429.0,6213.0
2018-02-16,4626,5989,6625,8884,7449.0,6223.0
2018-02-17,4626,5989,6625,8884,7449.0,6223.0
2018-02-18,4626,5989,6681,8943,7504.0,6273.0
2018-02-19,4626,5989,6764,9046,7587.0,6308.0
2018-02-20,4626,5989,6815,9115,7637.0,6329.0
2018-02-22,4648,6018,6824,9128,7645.0,6337.0
2018-02-23,4648,6018,6824,9128,7645.0,6337.0
2018-02-24,4648,6018,6827,9131,7648.0,6339.0
2018-02-28,4648,6018,6868,9187,7689.0,6362.0
2018-03-01,4648,6018,6870,9189,7690.0,6363.0
2018-03-02,4648,6018,6876,9195,7696.0,6367.0
2018-03-03,4656,6028,6876,9196,7697.0,6367.0
2018-03-04,4656,6028,6980,9304,7798.0,6440.0
2018-03-05,4656,6028,7035,9373,7852.0,6473.0
2018-03-07,4656,6028,7039,9378,7856.0,6477.0
2018-03-08,4692,6084,7039,9391,7857.0,6481.0
2018-03-09,4699,6093,7039,9393,7857.0,6482.0
2018-03-10,4699,6093,7039,9393,7857.0,6482.0
2018-03-12,4725,6129,7038,9397,7858.0,6485.0
2018-03-13,4725,6129,7038,9397,7858.0,6485.0
2018-03-15,4806,6232,7084,9458,7903.0,6513.0
2018-03-16,4818,6253,7095,9472,7915.0,6524.0
2018-03-17,4818,6253,7095,9472,7915.0,6524.0
2018-03-18,4818,6253,7107,9486,7926.0,6534.0
